CATEGORY,PRODUCTID,ITEM,IMGSRC,DESCRIPTION,MRP,DISCOUNTEDPRICE
MT,MT1,"Round Neck T-Shirt, Green",item_images/MT/mt1.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1099,659
MT,MT2,"Round Neck T-Shirt, Grey",item_images/MT/mt2.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,559
MT,MT3,"Round Neck T-Shirt, Blue",item_images/MT/mt3.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",865,778
MT,MT4,"Striped Round Neck T-Shirt, Grey",item_images/MT/mt4.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",949,664
MT,MT5,"Striped Round Neck T-Shirt, Blue",item_images/MT/mt5.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",3599,1979
MT,MT6,"Round Neck T-Shirt, Black and White",item_images/MT/mt6.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",549,439
MT,MT7,"Round Neck T-Shirt, Black and Grey",item_images/MT/mt7.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,649
MT,MT8,"Round Neck T-Shirt, Tricolour",item_images/MT/mt8.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,384
MT,MT9,"Fullsleeve T-Shirt, Blue",item_images/MT/mt9.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,359
MT,MT10,Iron Man T-Shirt,item_images/MT/mt10.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",649,519
MT,MT11,"Round Neck T-Shirt, Maroon",item_images/MT/mt11.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",949,664
MT,MT12,"Polo Neck T-Shirt, Blue",item_images/MT/mt12.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",999,1399
MT,MT13,"Round Neck T-Shirt, Blue and White",item_images/MT/mt13.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1695,1186
MT,MT14,"Pocket T-Shirt, Grey",item_images/MT/mt14.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,649
MT,MT15,"Polo Neck T-Shirt, Black",item_images/MT/mt15.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,909
MT,MT16,"Ferrari T-Shirt, White",item_images/MT/mt16.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1099,659
MT,MT17,"Ferrari T-Shirt, Yellow",item_images/MT/mt17.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",7499,449
MT,MT18,"Fullsleeve T-Shirt, Gradient Blue",item_images/MT/mt18.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,179
MT,MT19,"Fullsleeve T-Shirt, Pattern",item_images/MT/mt19.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1399,979
MT,MT20,"Polo Neck T-Shirt, Grey Striped",item_images/MT/mt20.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1499,749
MT,MT21,"Round Neck T-Shirt, Black and Yellow",item_images/MT/mt21.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1099,659
MT,MT22,"Polo Neck T-Shirt, Maroon",item_images/MT/mt22.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,489
MT,MT23,"Henley T-Shirt, Black",item_images/MT/mt23.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",999,549
MT,MT24,"Henley T-Shirt, White",item_images/MT/mt24.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,359
MT,MT25,"Caption Sweatshirt, Be it!",item_images/MT/mt25.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",549,329
MT,MT26,"Round Neck T-Shirt, Blue Striped",item_images/MT/mt26.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,779
MT,MT27,"Polo Neck T-Shirt, Double Colour",item_images/MT/mt27.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",5490,3568
MT,MT28,"Polo Neck T-Shirt, Light Green",item_images/MT/mt28.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1430,1001
MT,MT29,"Polo Neck T-Shirt, Light Blue",item_images/MT/mt29.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,384
MT,MT30,"Pocket T-Shirt, Dark Grey",item_images/MT/mt30.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,279
MT,MT31,"Polo Neck T-Shirt, Olive Green",item_images/MT/mt31.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,299
MT,MT32,"Pocket T-Shirt, White",item_images/MT/mt32.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,384
MS,MS1,"Fullsleeve Shirt, White",item_images/MS/ms1.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1099,659
MS,MS2,"Fullsleeve Shirt, Shiny Blue",item_images/MS/ms2.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,559
MS,MS3,"Fullsleeve Shirt, Off White",item_images/MS/ms3.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",865,778
MS,MS4,"Fullsleeve Shirt, Maroon",item_images/MS/ms4.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",949,664
MS,MS5,"Fullsleeve Shirt, Light Blue",item_images/MS/ms5.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",3599,1979
MS,MS6,"Fullsleeve Shirt, Grey",item_images/MS/ms6.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",549,439
MS,MS7,"Fullsleeve Shirt, Black",item_images/MS/ms7.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,649
MS,MS8,"Fullsleeve Shirt, Dark Blue",item_images/MS/ms8.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,384
MS,MS9,"Fullsleeve Shirt, Jet Black",item_images/MS/ms9.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,359
MS,MS10,"Fullsleeve Shirt, Light Pink",item_images/MS/ms10.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",649,519
MS,MS11,"Fullsleeve Shirt, Burgundy",item_images/MS/ms11.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",949,664
MS,MS12,"Fullsleeve Shirt, Dark Grey",item_images/MS/ms12.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",999,1399
MS,MS13,"Fullsleeve Shirt, Baby Pink",item_images/MS/ms13.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1695,1186
